Movie,Box_office_crores,Budget_crores,Certificate,Release_Date,Run_time_mins,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3,Genre1,Genre2,Genre3
pyare-mohan,11,13,U/A,21-Apr-06,130,Indra Kumar,Indra Kumar,Kookie V Gulati,Fardeen Khan,Vivek Oberoi,Action,Comedy,Crime
lucky-no-time-for-love,14,6,U,6-Apr-05,180,Radhika Rao,Bhushan Kumar,Vinay Sapru,Mithun Chakraborty,Salman Khan,Musical,Drama,Romance
damadamm,0.65,5,U/A,27-Oct-11,117,Swapna Waghmare Joshi,,Swapna Joshi,Abir Goswami,Rajesh Khattar,Comedy,Drama,Romance
chance-pe-dance,9,29,U,15-Jan-10,122,Ken Ghosh,Ronnie Screwvala,Shahid Kapoor,Genelia D Souza,Jimmy Sharma,Comedy,Drama,Musical
challo-driver,0.09,3,U,20-Jul-12,135,Vickrant Mahajan,,Preet Bhatti,Prem Chopra,Kainaz Motivala,Comedy,Drama,NA
raqeeb,1,6,U/A,18-May-07,124,Anurag Singh,Raj Kanwar,Anurag Singh,Jimmy Shergill,Sharman Joshi,Crime,Drama,Mystery
sooper-se-ooper,0.08,2,U/A,25-Oct-13,103,Shekhar Ghosh,Rajneesh Lal,Deepak Dobriyal,Kirti Kulhari,Vir Das,Comedy,Drama,NA
bittoo-boss,2,10,U/A,13-Apr-12,129,Supavitra Babul,,Wamiqa Gabbi,Pulkit Samrat,Sahil Vaid,Romance,Comedy,Drama
pyaar-mein-twist,0.92,3,U,2-Sep-05,160,Hriday Shetty,,Rishi Kapoor,Soha Ali Khan,Dimple Kapadia,Comedy,Drama,Musical
julie,9,5,A,23-Jul-04,144,Deepak S. Shivdasani,Nr Pachisia,Deepak S Shivdasani,Priyanshu Chatterjee,Sudhir Joshi,Drama,Romance,NA
officer,3,5,A,14-Mar-01,139,Naeem Sha,,Sunil Shetty,Raveena Tandon,Sadashiv Amrapurkar,Action,Crime,Drama
darling-iii,2,6,A,7-Sep-07,132,Ram Gopal Varma,Bhushan Kumar,Fardeen Khan,Upendra Limaye,Isha Koppikar,Drama,Horror,Romance
chaar-din-ki-chandni,4,12,U,9-Mar-12,126,Samir Karnik,Samir Karnik,Anupam Kher,Tusshar Kapoor,Kulraj Randhawa,Comedy,Romance,NA
bandook,0.15,4,A,18-Jan-13,134,Aditya Om,Aditya Singh,Manisha Kelkar,Arshad Khan,Ashish Kotwal,Crime,Thriller,NA
department,11,32,U/A,17-May-12,141,Ram Gopal Varma,Ram Gopal Varma,Amitabh Bachchan,Sanjay Dutt,Rana Daggubati,Action,Crime,Drama
jai-mummy-di,2,14,U/A,17-Jan-20,135,Navjot Gulati,Bhushan Kumar,Shiwani Saini,Poonam Dhillon,Sunny Singh Nijjar,Comedy,Drama,Romance
life-express,0.04,1,U/A,17-Sep-10,125,Anup Das,Sanjay Kalate,Kiran Janjani,Divya Dutta,Vijayendra Ghatge,Drama,NA,NA
aap-ki-khatir,6,16,U/A,25-Aug-06,135,Dharmesh Darshan,Bharat S Shah,Priyanka Chopra,Akshaye Khanna,Sunil Shetty,Comedy,Romance,Drama
chamku,1,10,A,29-Aug-08,100,Kabeer Kaushik,Dharmendra,Priyanka Chopra,Irrfan Khan,Bobby Deol,Action,Crime,Drama
ugly-aur-pagli,7,12,U/A,1-Aug-08,117,Sachin Kamlakar,Pritish Nandy,Pramod Goswami,Vihing Nayak,Mallika Sherawat,Comedy,Drama,NA
sadiyaan-boundaries-divide-love-unites,0.51,18,U,2-Apr-10,161,Raj Kanwar,Raj Kanwar,Rishi Kapoor,Rekha Ganesan,Gurpreet Ghuggi,Drama,Romance,NA
delhii-heights,0.7,4,U/A,30-Mar-07,120,R. Anand Kumar,Prabhu Ganesan,R Madhavan,Jimmy Shergill,Neha Dhupia,Drama,Romance,NA
naksha,6,22,U/A,8-Sep-06,130,Sachin Bajaj,Akshay Bajaj,Anil Kapoor,Sunny Deol,Jackie Shroff,Action,Adventure,Fantasy
john-day,1,9,A,12-Sep-13,138,Ahishor Solomon,Aatef A Khan,Naseeruddin Shah,Randeep Hooda,Kenneth Desai,Drama,Thriller,NA
crook-film,10,23,U/A,8-Oct-10,119,Mohit Suri,Mahesh Bhatt,Emraan Hashmi,Neha Sharma,Mashhoor Amrohi,Action,Drama,Thriller
youngistaan,6,28,U/A,27-Mar-14,133,Syed Ahmed Afzal,Vashu Bhagnani,Shah Rukh Khan,Vanya Joshi,Jacky Bhagnani,Drama,NA,NA
ek-khiladi-ek-haseena,4,5,U/A,18-Nov-05,143,Suparn Verma,Pritish Nandy,Fardeen Khan,Kay Kay Menon,Mukul Dev,Comedy,Crime,Thriller
pyaar-impossible,5,14,U,8-Jan-10,120,Jugal Hansraj,Aditya Chopra,Priyanka Chopra,Anupam Kher,Uday Chopra,Comedy,Romance,NA
raabta,21,47,U/A,9-Jun-17,147,Dinesh Vijan,Homi Adajania,Sushant Singh Rajput,Kriti Sanon,Deepika Padukone,Comedy,Drama,Mystery
whats-your-raashee,17,32,U/A,25-Sep-09,211,Ashutosh Gowariker,Ronnie Screwvala,Priyanka Chopra,Harman Baweja,Manju Singh,Comedy,Drama,Romance
aladin,5,42,U,30-Oct-09,132,Sujoy Ghosh,Sunil Lulla,Amitabh Bachchan,Sanjay Dutt,Riteish Deshmukh,Action,Adventure,Comedy
shaadi-no-1,11,15,U/A,3-Nov-05,136,David Dhawan,Vashu Bhagnani,Sanjay Dutt,Sharman Joshi,Fardeen Khan,Comedy,Drama,NA
bhaiaji-superhit,4,26,U/A,23-Nov-18,139,Neeraj Pathak,Fauzia Arshi,Mithun Chakraborty,Sunny Deol,Preity Zinta,Action,Comedy,Thriller
gippi,4,6,U/A,10-May-13,95,Sona Nair,Karan Johar,Acchui,Anjali,Taaha Shah Badusha,Comedy,Drama,NA
hattrick,4,9,U/A,16-Mar-07,110,Milan Luthria,Ronnie Screwvala,John Abraham,Nana Patekar,Kunal Kapoor,Comedy,Drama,Romance
one-night-stand-i,3,17,A,6-May-16,97,Jasmine Moses D'souza,Sandeep Shirodkar,Nyra Banerjee,Madhurima Banerjee,Tanuj Virwani,Drama,Romance,Thriller
dhoondte-reh-jaoge,6,10,U/A,6-Mar-09,131,Umesh Shukla,Ronnie Screwvala,Soha Ali Khan,Deepal Shaw,Sonu Sood,Comedy,Drama,NA
naqaab,12,19,U/A,13-Jul-07,124,Abbas Alibhai Burmawalla,Ramesh Sadhuram Taurani,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Crime,Drama,Romance
paying-guests,5,11,U/A,19-Jun-09,109,Paritosh Painter,Subhash Ghai,Sayali Bhagat,Vatsal Seth,Shreyas Talpade,Comedy,Drama,NA
dolly-ki-doli,11,21,U/A,22-Jan-15,98,Abhishek Dogra,Arbaaz Khan,Sonam Kapoor,Saif Ali Khan,Karan Ashar,Comedy,Romance,Romantic comedy
war-chhod-na-yaar,6,17,U/A,11-Oct-13,119,Faraz Haider,,Sharman Joshi,Soha Ali Khan,Mukul Dev,Comedy,War,NA
veer,1,1,U/A,22-Jan-10,163,Anil Sharma,Vijay Galani,Mithun Chakraborty,Salman Khan,Jackie Shroff,Action,Adventure,Drama
will-you-marry-me,0.54,6,U/A,2-Mar-12,137,Aditya Datt,Krishan Chaudhery,Rajeev Khandelwal,Muzammil Ibrahim,Mugdha Godse,Comedy,NA,NA
udaan1,1,2,U/A,3-Oct-97,139,Govardhan Asrani,Guddu Dhanoa,Saif Ali Khan,Rekha Ganesan,Mohnish Bahl,Action,Crime,Drama
fatso,1,9,U/A,4-May-12,98,Rajat Kapoor,Pritish Nandy,Gul Panag,Purab Kohli,Neil Bhoopalam,Comedy,Romance,Fantasy
naach,3,8,U/A,12-Nov-04,139,Ram Gopal Varma,Ram Gopal Varma,Abhishek Bachchan,Riteish Deshmukh,Antara Mali,Drama,Musical,Romance
holiday1,0.79,3,U,10-Feb-06,135,Pooja Bhatt,Pooja Bhatt,Anahita Oberoi,Nauheed Cyrusi,Dino Morea,Drama,Musical,Romance
mighty-raju-rio-calling,1,5,U,17-May-14,96,Rajiv Chilaka,Rajiv Chilaka,Rajiv Chilaka,Anirban Majumdar,Vatsal Dubey,Animation,NA,NA
emi,5,17,U/A,7-Nov-08,129,Sanjay Khanna,,Saurabh Kabra,Arjun Rampal,Sanjay Dutt,Comedy,Crime,Drama
mission-istaanbul,6,21,U/A,25-Jul-08,125,Apoorva Lakhia,Sunil Shetty,Abhishek Bachchan,Shriya Saran,Sunil Shetty,Action,Adventure,Drama
tamanchey-pyar-mein-dil-pe-maar-de-goli,1,10,U/A,10-Oct-14,113,Navneet Behal,Suryaveer Bhullar,Richa Chadda,Nikhil Dwivedi,Damandeep Singh,Crime,Romance,NA
dangerous-ishhq,5,26,U/A,11-May-12,129,Vikram Bhatt,Arun Rangachari,Jimmy Shergill,Karisma Kapoor,Ruslaan Mumtaz,Romance,Thriller,Fantasy
nasha,3,8,A,26-Jul-13,122,Amit Saxena,Aditya Bhatia,Ranbir Chakma,Nikhil Desai,Raj Kesaria,Drama,Thriller,Romance
prague,0.08,4,U/A,27-Sep-13,109,Ashish R. Shukla,Rohit Khaitan,Ashish Shukla,Kumar Mayank,Sonia Bindra,Mystery,Romance,Thriller
chhodon-naa-yaar,0.19,3,U,5-Oct-07,130,Dilip Sood,Samir Gaikwad,Jimmy Shergill,Farid Amiri,Kim Sharma,Thriller,Drama,NA
c-kkompany,3,10,U/A,29-Aug-08,132,Sachin Yardi,Ekta Kapoor,Mithun Chakraborty,Sanjay Dutt,Anupam Kher,Comedy,Drama,Thriller
titoo-mba,0.1,2,U/A,21-Nov-14,111,Amit Vats,,Pragya Jaiswal,Nishant Dahiya,Nandini Singh,Comedy,Romance,NA
jodi-breakers,9,21,U/A,24-Feb-12,133,Ashwini Chaudhary,,R Madhavan,Bipasha Basu,Omi Vaidya,Comedy,Musical,Romance
junooniyat,3,12,U,24-Jun-16,129,Vivek Agnihotri,Bhushan Kumar,Yami Gautam,Gulshan Devaiah,Khushboo Upadhyay,Drama,Romance,NA
badlapur-boys,0.8,7,U/A,12-Dec-14,123,Shailesh Verma,A Muthu,Saranya Mohan,Nishan Nanaiah,Saranya Mohan,Drama,Family,NA
maatr,1,8,A,21-Apr-17,113,Ashtar Sayed,Anjum Rizvi,Siddharth Bharadwaj,Neetu Chaudhary,Ayesha Shiva,Thriller,Drama,NA
do-knot-disturb,16,30,U/A,2-Oct-09,126,David Dhawan,Vashu Bhagnani,Govinda,Riteish Deshmukh,Sushmita Sen,Comedy,Drama,NA
sarkar-3,9,36,U/A,11-May-17,132,Ram Gopal Varma,Gopal Dalvi,Amitabh Bachchan,Abhishek Bachchan,Jackie Shroff,Crime,Drama,Action
sonali-cable,0.82,7,U/A,17-Oct-14,128,Charudutt Acharya,Rohan Sippy,Anupam Kher,Rhea Chakraborty,Raghav Juyal,Drama,Comedy,NA
himmatwala-mithun,0.89,1,U/A,12-Dec-98,152,Jayant Gilatar,,Mithun Chakraborty,Ayesha Jhulka,Radhika Sarathkumar,Action,Drama,NA
toonpur-ka-superrhero,5,25,U,24-Dec-10,95,Kireet Khurana,Krishika Lulla,Ajay Devgan,Kajol Devgn,Sanjay Dutt,Animation,Action,Adventure
chingaari,1,5,A,17-Feb-06,160,Kalpana Lajmi,Kalpana Lajmi,Mithun Chakraborty,Ila Arun,Sushmita Sen,Drama,Action,NA
kill-dil,29,40,U/A,13-Nov-14,128,Shaad Ali,Aditya Chopra,Ranveer Singh,Govinda,Parineeti Chopra,Action,Drama,Romance
issaq,3,25,U/A,26-Jul-13,148,Manish Tiwary,Dhaval Gada,Amyra Dastur,Prateik Babbar,Ravi Kishan Shukla,Drama,Romance,NA
tathastu,1,11,U/A,13-May-06,113,Anubhav Sinha,Nitin Manmohan,Sanjay Dutt,Ameesha Patel,Jaya Prada,Drama,Crime,Thriller
chase,0.36,0.42,U/A,30-Apr-10,104,Jag Mundhra,Anuj Saxena,Udita Goswami,Shwetha Menon,Gulshan Grover,Action,Crime,Drama
coffee-with-d,0.51,8,A,20-Jan-17,123,Vishal Mishra,Vinod Ramani,Dipannita Sharma,Zakir Hussain,Rajesh Sharma,Comedy,Crime,Drama
ishqedarriyaan,6,10,U,15-May-15,131,V.k. Prakash,Rajesh Banga,Vk Prakash,Mimoh Chakraborty,Mohit Dutta,Romance,Drama,Family
barefoot-to-goa,0.03,0.6,U,10-Apr-15,80,Praveen Morchhale,Praveen Morchhale,Farrukh Jaffar,Purva Parag,Nikita Shah,Adventure,Drama,Family
chal-chala-chal,1,8,U,6-Feb-09,138,Rajeev Kumar,Dharmesh Rajkotia,Govinda,Reema Sen,Om Puri,Action,Comedy,Crime
bombay-to-bangkok,1,7,U/A,18-Jan-08,125,Nagesh Kukunoor,Subhash Ghai,Naseeruddin Shah,Lena Christensen,Shreyas Talpade,Comedy,Drama,Romance
zila-ghaziabad,23,36,U/A,22-Feb-13,132,Anand Kumar,Bharat S Shah,Sanjay Dutt,Shriya Saran,Vivek Oberoi,Action,Crime,Thriller
shabri,0.11,3,A,26-Aug-11,89,Lalit Marathe,Ram Gopal Varma,Manish Wadhwa,Isha Koppikar,Urmila Matondkar,Action,Crime,Drama
saheb-biwi-aur-gangster-3,7,28,A,27-Jul-18,140,Tigmanshu Dhulia,Tigmanshu Dhulia,Sanjay Dutt,Jimmy Shergill,Soha Ali Khan,Crime,Drama,Action
yaraana,5,4,U,20-Oct-95,132,David Dhawan,Reema Rakesh Nath,Madhuri Dixit,Rishi Kapoor,Raj Babbar,Action,Drama,Musical
shaapit-the-cursed,7,9,A,19-Mar-10,146,Vikram Bhatt,Vikram Bhatt,Shubh Joshi,Shweta Agarwal,Rahul Dev,Horror,Romance,Thriller
calendar-girls,5,13,A,25-Sep-15,131,Madhur Bhandarkar,Sangeetha Ahir,Indraneil Sengupta,Avani Modi,Ruhi Singh,Drama,NA,NA
dulha-mil-gaya,3,22,U,8-Jan-10,143,Mudassar Aziz,Vivek Vaswani,Shah Rukh Khan,Mohit Chadha,Fardeen Khan,Comedy,Drama,Romance
alag-he-is-different-he-is-alone,0.39,8,U/A,16-Jun-06,122,Ashu Trikha,Subi Samuel,Jim Mulligan,Arjun Rampal,Priyanka Chopra,Drama,Sci-fi,Thriller
prithvi,4,5,U/A,29-Aug-97,136,Nitin Manmohan,Nitin Manmohan,Nitin Manmohan,Sunil Shetty,Faraaz Khan,Action,Mystery,Thriller
hate-story-iv,26,17,A,9-Mar-18,130,Vishal Pandya,Bhushan Kumar,Urvashi Rautela,Vivan Bhatena,Karan Wahi,Drama,Crime,Thriller
tevar,35,54,U/A,8-Jan-15,159,Amit Sharma,Boney Kapoor,Sonakshi Sinha,Arjun Kapoor,Manoj Bajpayee,Action,Drama,Romance
players,29,55,U/A,5-Jan-12,168,Abbas Alibhai Burmawalla,Suresh Vaswani,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Action,Crime,Thriller
shabd,7,8,A,4-Feb-05,145,Leena Yadav,Pritish Nandy,Aishwarya Rai Bachchan,Sanjay Dutt,Zayed Khan,Drama,NA,NA
jo-dooba-so-paar,0.24,6,U/A,14-Oct-11,90,P Praveen Kumar,,Sita Spada,Anmick,Rajat Kapoor,Comedy,Crime,Drama
get-educated-paathshaala,17,14,U,16-Apr-10,126,Milind Ukey,Ahmed Khan,Shahid Kapoor,Nana Patekar,Sunil Shetty,Drama,Family,NA
khamoshiyan,9,12,A,30-Jan-15,122,Karan Dara,Mahesh Bhatt,Sapna Pabbi,Ali Fazal,Gurmeet Choudhary,Drama,Horror,Romance
paltan,7,35,U/A,6-Sep-18,154,Jp Dutta,Shariq Patel,Arjun Rampal,Abhishek Bachchan,Jackie Shroff,Action,Drama,History
super-nani,2,18,U,30-Oct-14,133,Indra Kumar,Bharat S Shah,Rekha Ganesan,Anupam Kher,Anchal Dwivedi,Drama,Comedy,Family
bengal-tiger,0.63,0.85,U/A,7-Mar-01,121,Adarsh Jain,Rishikesh Dhari Sinha,Mithun Chakraborty,Sandeep Bedi,Roshini Jaffery,Action,Crime,Drama
love-games,3,10,A,8-Apr-16,114,Vikram Bhatt,Bhushan Kumar,Tara-alisha Berry,Gauri Arora,Patralekha Paul,Thriller,Drama,NA
tere-bin-laden-dead-or-alive,3,13,U/A,26-Feb-16,104,Abhishek Sharma,Aarti Shetty,Sugandha Garg,Vikrant Chaturvedi,Iman Crosson,Comedy,Drama,NA
zid1,0.42,0.75,U/A,7-Jan-94,129,Esmayeel Shroff,Pranlal V Mehta,Mala Sinha,Vijay Aidasani,Jay Mehta,Drama,Romance,NA
bewafaa,16,18,U/A,24-Feb-05,151,Dharmesh Darshan,Boney Kapoor,Akshay Kumar,Kareena Kapoor Khan,Anil Kapoor,Drama,Romance,NA
khandaani-shafakhana,4,26,U/A,2-Aug-19,138,Shilpi Dasgupta,Bhushan Kumar,Hobby Dhaliwal,Sonakshi Sinha,Diana Penty,Comedy,Drama,Musical
guddu-rangeela,6,20,U/A,3-Jul-15,124,Subhash Kapoor,Sangeetha Ahir,Arshad Warsi,Amit Sadh,Aditi Rao Hydari,Comedy,Drama,NA
i-see-you,1,8,U,29-Dec-06,124,Vivek Agrawal,Mehr Rampal,Vivek B Agrawal,Arjun Rampal,Hrithik Roshan,Comedy,Drama,Fantasy
armaan,6,9,U,16-May-03,159,Honey Irani,Dinesh Gandhi,Amitabh Bachchan,Anil Kapoor,Preity Zinta,Drama,Family,Romance
arjun-patiala,6,24,U/A,25-Jul-19,135,Rohit Jugraj,Bhushan Kumar,Kriti Sanon,Diljit Dosanjh,Himansh Kohli,Comedy,Drama,Romance
sandwich,0.47,10,U/A,25-Aug-06,152,Anees Bazmee,Smita Thackeray,Govinda,Shammi Kapoor,Mahima Choudhary,Comedy,Thriller,Mystery
shirin-farhad-ki-toh-nikal-padi,12,19,U/A,24-Aug-12,111,Bela Sehgal,Sunil Lulla,Boman Irani,Nauheed Cyrusi,Kavin Dave,Romance,Comedy,NA
paranthe-wali-gali,0.07,1,U,17-Jan-14,101,Sachin Gupta,Sachin Gupta,Mohinder Gujral,Yuvraj Haral,Neha Pawar,Drama,Romance,Romantic comedy
nawabzaade,4,10,U/A,27-Jul-18,112,Jayesh Pradhan,Remo D Souza,Varun Dhawan,Shraddha Kapoor,Isha Rikhi,Comedy,Romance,Romantic comedy
sahi-dhandhe-galat-bande,0.7,7,U/A,19-Aug-11,119,Parvin Dabas,Preeti Jhangiani,Anupam Kher,Vansh Bhardwaj,Parvin Dabas,Action,Comedy,Drama
dishkiyaoon,4,3,U/A,27-Mar-14,119,Sanamjit Singh Talwar,Shilpa Shetty Kundra,Sanamjit Talwar,Sunny Deol,Harman Baweja,Action,Thriller,Crime
amit-sahni-ki-list,0.56,7,U/A,18-Jul-14,110,Ajay Bhuyan,Kavita Kulkarni,Anindita Nayar,Vega Tamotia,Vir Das,Comedy,Romance,Romantic comedy
hate-story-2,22,15,A,18-Jul-14,130,Vishal Pandya,Bhushan Kumar,Jay Bhanushali,Surveen Chawla,Siddharth Kher,Drama,Thriller,Romance
fanney-khan,10,39,U/A,3-Aug-18,129,Atul Manjrekar,Bhushan Kumar,Aishwarya Rai Bachchan,Anil Kapoor,Rajkummar Rao,Comedy,Drama,Musical
khoobsurat1,8,6,U,26-Nov-99,162,Sanjay Chhel,Jhamu Sughand,Sanjay Dutt,Urmila Matondkar,Paresh Rawal,Comedy,Family,Action
i-me-aur-main,8,20,U/A,28-Feb-13,108,Kapil Sharma,Goldie Behl,Kapil Sharma,John Abraham,Sheena Shahabadi,Comedy,Drama,Musical
bajatey-raho,5,15,U/A,26-Jul-13,107,Shashant A Shah,Krishika Lulla,Tusshar Kapoor,Vishakha Singh,Ravi Kishan Shukla,Comedy,Drama,Thriller
luv-u-soniyo,0.12,5,U,26-Jul-13,144,Joe Rajan,Joe Rajan,Amaan Khan,Neha Hinge,Bunty Grewal,Comedy,Romance,NA
always-kabhi-kabhi,3,11,U,17-Jun-11,126,Roshan Abbas,Gauri Khan,Shah Rukh Khan,Satyajeet Dubey,Ali Fazal,Comedy,Crime,Drama
veerappan,6,14,A,27-May-16,125,Ram Gopal Varma,Raina Sachiin Joshi,Sandeep Bharadwaj,Lisa Ray,Zarine Khan,Action,Biography,Crime
mummy-punjabi,0.05,4,U/A,31-Aug-11,131,Pammi Somal,Kk Ravikumar,Lohith H,Jackie Shroff,Kiron Kher,Comedy,Drama,Horror
nakshatra1,0.19,4,U/A,29-Oct-10,122,Mohan Savalkar,Ravindra Singh,Anupam Kher,Shubh Mukherjee,Gajendra Chouhan,Crime,Drama,Mystery
haseena-parkar,6,18,U/A,21-Sep-17,123,Apoorva Lakhia,Nahid Khan,Shraddha Kapoor,Sharman Joshi,Ankur Bhatia,Biography,Crime,Thriller
staying-alive1,0.01,1,U,3-Feb-12,135,Ananth Narayan Mahadevan,Ketan Maru,Saurabh Shukla,Manuj Bhaskar,Ssanjay Swaraaj,Drama,NA,NA
koyelaanchal,1,14,A,9-May-14,146,Ashu Trikha,Ashu Trikha,Vinod Khanna,Sunil Shetty,Biswanath Basu,Action,Drama,NA
indias-most-wanted,15,37,U/A,24-May-19,125,Raj Kumar Gupta,Vijay singh,Arjun Kapoor,Sudev Nair,Rajesh Sharma,Drama,Thriller,Action
mahabharat1,1,25,U,27-Dec-13,125,Amaan Khan,Dhaval Gada,Vidya Balan,Ajay Devgan,Amitabh Bachchan,Animation,Action,Adventure
mirzya,7,63,U/A,6-Oct-16,129,Rakeysh Omprakash Mehra,Rakeysh Omprakash Mehra,Harshvardhan Kapoor,Saiyami Kher,Anuj Choudhry,Drama,Musical,Romance
god-tussi-great-ho,12,21,U,15-Aug-08,152,Rumi Jaffery,Afzal Khan,Priyanka Chopra,Amitabh Bachchan,Salman Khan,Comedy,Drama,Fantasy
mumbai-mirror,1,18,U/A,18-Jan-13,136,Ankush Bhatt,Raina Sachiin Joshi,Prakash Raj,Vimala Raman,Raina Sachiin Joshi,Action,Crime,Thriller
all-is-well,12,34,U,21-Aug-15,125,Umesh Shukla,Bhushan Kumar,Asin Thottumkal,Rishi Kapoor,Abhishek Bachchan,Adventure,Comedy,Drama
sharafat-gayi-tel-lene,0.42,7,U/A,16-Jan-15,108,Gurmmeet Singh,Devinder Jain,Anupam Kher,Zayed Khan,Rannvijay Singh,Comedy,Drama,Thriller
hum-tum-aur-ghost,4,21,U,26-Mar-10,125,Kabeer Kaushik,Arshad Warsi,Ritu Raj Singh,Arshad Warsi,Boman Irani,Comedy,Drama,Fantasy
alone-vi,18,19,A,16-Jan-15,133,Bhushan Patel,Abhishek Pathak,Bipasha Basu,Karan Singh Grover,Nilima Priya,Horror,NA,NA
luv-ka-the-end,5,8,U,6-May-11,106,Bumpy,Ashish Patil,Shraddha Kapoor,Meher Acharia-dar,Riya Bamniyal,Comedy,Drama,NA
noor-i,6,24,U/A,20-Apr-17,117,Sunhil Sippy,Bhushan Kumar,Sonakshi Sinha,Purab Kohli,Sunny Leone,Comedy,Drama,NA
main-aurr-mrs-khanna,7,38,U/A,16-Oct-09,109,Prem Soni,Sohail Khan,Deepika Padukone,Salman Khan,Kareena Kapoor Khan,Comedy,Drama,Romance
marjaavaan,45,38,U/A,15-Nov-19,134,Milap Zaveri,Bhushan Kumar,Sidharth Malhotra,Riteish Deshmukh,Varinder Singh Ghuman,Action,Drama,Romance
strangers,0.44,3,A,15-Dec-07,135,Aanand L. Rai,Uday Tiwari,Aanand L Rai,Jimmy Shergill,Nandana Sen,Drama,Romance,Thriller
wajah-tum-ho,9,14,A,15-Dec-16,136,Vishal Pandya,,Sharman Joshi,Prarthana Behere,Sherlyn Chopra,Drama,Mystery,Romance
policegiri,14,30,U/A,4-Jul-13,141,K.s. Ravikumar,Rahul Aggarwal,Ks Ravikumar,Sanjay Dutt,Prakash Raj,Action,Comedy,Drama
what-the-fish,0.72,4,U/A,13-Dec-13,98,Gurmmeet Singh,Kr Harish,Mithun Rodwittiya,Dimple Kapadia,Deepti Pujari,Adventure,Comedy,Drama
i-am-singh,0.32,9,U/A,2-Dec-11,150,Puneet Issar,Ps Thind,Aushima Sawhney,Tulip Joshi,Sunita Dhir,Action,Crime,Drama
mokssh,0.03,0.5,U,27-Dec-13,100,Ajit P. Bhairavkar,Sunill Khosla,Ajit Bhairavkar,Sukhada Yash,Chinmay Mandlekar,Drama,Musical,NA
yamla-pagla-deewana-2,30,46,U/A,6-Jun-13,155,Sangeeth Sivan,Dharmendra,Dharmendra,Bobby Deol,Sunny Deol,Action,Comedy,Drama
cash,18,32,U/A,3-Aug-07,137,Anubhav Sinha,Anubhav Sinha,Ajay Devgan,Riteish Deshmukh,Sunil Shetty,Action,Drama,Thriller
zoya-factor,2,33,U,20-Sep-19,136,Abhishek Sharma,Aarti Shetty,Sonam Kapoor,Anil Kapoor,Dulquer Salmaan,Romance,Drama,Comedy
miss-tanakpur-haazir-ho,1,6,U/A,26-Jun-15,134,Vinod Kapri,Vinay Tiwari,Rahul Bagga,Ravi Kishan Shukla,Hrishitaa Bhatt,Comedy,Crime,Family
ek-paheli-leela,18,23,A,10-Apr-15,144,Bobby Khan,Bhushan Kumar,Bobby Khan,Mohit Ahlawat,Jay Bhanushali,Mystery,Romance,Thriller
72-hours-martyr-who-never-died,0.14,11,U/A,18-Jan-19,130,Avinash Dhyani,Prashil Rawat,Alka Amin,Gaurav Sharma,Sumit Gulati,Biography,War,Action
tezz,15,52,U/A,27-Apr-12,123,Priyadarshan Nair,Ratan Jain,Mohanlal Viswanathan,Kangana Ranaut,Ajay Devgan,Crime,Drama,Thriller
krazzy-4,19,18,U/A,11-Apr-08,110,Jaideep Sen,Rakesh Roshan,Hrithik Roshan,Irrfan Khan,Shah Rukh Khan,Comedy,Crime,Drama
bhoot-and-friends,0.01,1,U,31-Dec-10,133,Karanjeet Saluja,,Kittu Saluja,Jackie Shroff,Ashish Kattar,Animation,Action,Adventure
khwaabb,0.07,4,U,9-May-14,90,Zaid Ali Khan,Moraad Ali Khan,Nafisa Ali,Manoj Bakshi,Sidharth Bhardwaj,Drama,Romance,Sport
payback,0.08,2,U/A,26-Nov-10,115,Sachin P. Karande,Sarosh Khan,Sachin P Karande,Hrishikesh Joshi,Sara Khan,Action,Crime,Drama
satrangee-parachute,0.09,2,U,25-Feb-11,115,Vineet Khetrapal,Vineet Khetrapal,Jackie Shroff,Kay Kay Menon,Zakir Hussain,Comedy,Drama,Family
hello-ii,12,14,U/A,10-Oct-08,129,Atul Agnihotri,Atul Agnihotri,Atul Agnihotri,Katrina Kaif,Salman Khan,Drama,Romance,NA
just-married1,4,8,U/A,16-Mar-07,130,Meghna Gulzar,Pritish Nandy,Fardeen Khan,Perizaad Zorabian,Anitha,Comedy,Drama,Romance
the-killer,4,7,A,21-Jul-06,122,Raksha Mistry,,Hasnain Hyderabadwala,Emraan Hashmi,Irrfan Khan,Action,Comedy,Crime
pal-pal-dil-ke-paas,6,45,U/A,20-Sep-19,152,Sunny Deol,Sunny Deol,Madhu Kandhari Rajesh,Mannu Sandhu,Sachin Khedekar,Romance,Action,Drama
fool-n-final,17,26,U,1-Jun-07,142,Ahmed Khan,Anurag Kashyap,Shahid Kapoor,Sunny Deol,Jackie Shroff,Action,Comedy,Romance
life-is-beautiful1,0.06,2,U/A,22-Aug-14,116,Manoj Amarnani,Manoj Amarnani,Nancy Brunetta,Anokhi Dalvi,Parth Naik,Comedy,Romance,Action
loveratri,18,27,U/A,4-Oct-18,139,Abhiraj Minawala,Salma Khan,Danny Mahoney,Ram Kapoor,Ronit Roy,Romance,Drama,Musical
